Date,open,high,low,close,Volume,OpenInt
3/16/15,40.224,40.373,40.224,40.328,315,0
3/18/15,40.319,40.319,40.319,40.319,100,0
3/19/15,40.197,40.292,40.188,40.292,428,0
3/20/15,40.292,40.292,40.292,40.292,100,0
3/23/15,40.292,40.292,40.292,40.292,428,0
3/24/15,40.364,40.496,40.364,40.496,208,0
3/25/15,40.694,40.826,40.694,40.787,530,0
3/26/15,40.553,40.639,40.553,40.639,208,0
3/27/15,40.648,40.713,40.648,40.713,428,0
3/30/15,40.448,40.543,40.448,40.543,428,0
3/31/15,40.524,40.62,39.003,40.515,1277,0
4/2/15,40.515,40.515,40.515,40.515,100,0
4/6/15,40.685,40.685,40.685,40.685,100,0
4/8/15,40.874,40.874,40.874,40.874,100,0
4/9/15,41.316,41.316,41.316,41.316,183,0
4/13/15,41.316,41.316,41.316,41.316,100,0
4/14/15,41.316,41.316,41.316,41.316,100,0
4/16/15,41.316,41.316,41.316,41.316,2,0
4/21/15,41.314,41.314,41.314,41.314,2,0
4/23/15,41.314,41.314,41.314,41.314,100,0
4/29/15,41.314,41.314,41.314,41.314,100,0
4/30/15,41.314,41.314,41.314,41.314,100,0
5/7/15,40.635,40.635,40.635,40.635,428,0
5/14/15,40.635,40.635,40.635,40.635,100,0
5/18/15,40.633,40.633,40.633,40.633,1,0
5/19/15,40.633,40.633,40.633,40.633,50,0
5/22/15,40.633,40.633,40.633,40.633,100,0
5/29/15,40.633,40.633,40.633,40.633,100,0
6/2/15,40.633,40.633,40.633,40.633,25,0
6/3/15,40.633,40.633,40.633,40.633,100,0
6/5/15,40.633,40.633,40.633,40.633,100,0
6/8/15,40.633,40.633,40.633,40.633,100,0
6/11/15,40.633,40.633,40.633,40.633,3,0
6/16/15,40.629,40.629,40.629,40.629,100,0
6/18/15,40.629,40.629,40.629,40.629,100,0
6/22/15,40.629,40.629,40.629,40.629,100,0
6/25/15,40.629,40.629,40.629,40.629,100,0
6/29/15,40.629,40.629,40.629,40.629,100,0
7/1/15,40.629,40.629,40.629,40.629,100,0
7/8/15,40.629,40.629,40.629,40.629,100,0
7/13/15,40.203,40.203,40.203,40.203,100,0
7/15/15,40.078,40.078,40.078,40.078,477,0
7/23/15,40.078,40.078,40.078,40.078,100,0
7/27/15,40.078,40.078,40.078,40.078,100,0
7/28/15,40.078,40.078,40.078,40.078,100,0
7/29/15,40.078,40.078,40.078,40.078,100,0
7/30/15,40.078,40.078,40.078,40.078,100,0
7/31/15,40.078,40.078,40.078,40.078,100,0
8/5/15,40.078,40.078,40.078,40.078,100,0
8/7/15,40.078,40.078,40.078,40.078,100,0
8/12/15,40.078,40.078,40.078,40.078,100,0
8/13/15,38.593,39.34,38.593,39.34,206,0
8/21/15,39.333,39.333,39.333,39.333,100,0
8/24/15,39.333,39.333,39.333,39.333,10,0
8/25/15,39.333,39.333,39.333,39.333,100,0
8/26/15,37.985,37.985,37.985,37.985,100,0
8/27/15,37.985,37.985,37.985,37.985,100,0
9/1/15,37.985,37.985,37.985,37.985,100,0
9/15/15,37.985,37.985,37.985,37.985,100,0
9/18/15,38.894,38.904,38.808,38.864,2410,0
9/22/15,38.225,38.225,38.225,38.225,100,0
9/28/15,38.225,38.225,38.225,38.225,1,0
10/2/15,38.225,38.225,38.225,38.225,100,0
10/22/15,39.194,39.271,39.194,39.271,309,0
10/23/15,39.271,39.271,39.271,39.271,100,0
10/28/15,39.271,39.271,39.271,39.271,100,0
10/30/15,39.271,39.271,39.271,39.271,100,0
11/10/15,38.544,38.696,38.524,38.687,6996,0
11/12/15,38.687,38.687,38.687,38.687,100,0
11/16/15,38.572,38.572,38.572,38.572,100,0
11/17/15,38.57,38.57,38.57,38.57,100,0
11/23/15,38.57,38.57,38.57,38.57,100,0
11/25/15,38.57,38.57,38.57,38.57,100,0
12/7/15,38.57,38.57,38.57,38.57,100,0
12/9/15,38.57,38.57,38.57,38.57,100,0
12/10/15,38.82,38.82,38.82,38.82,100,0
12/11/15,38.242,38.242,38.242,38.242,100,0
12/18/15,38.63,38.968,38.505,38.785,6032,0
12/23/15,38.785,38.785,38.785,38.785,100,0
12/28/15,38.718,38.766,38.718,38.766,100,0
12/29/15,38.707,38.707,38.707,38.707,121,0
1/21/16,38.206,38.471,38.188,38.188,430,0
2/8/16,38.566,38.566,38.564,38.564,281,0
2/11/16,38.923,38.923,38.923,38.923,100,0
4/7/16,39.965,40.157,39.965,40.024,859,0
4/14/16,40.09,40.401,40.004,40.198,8207,0
4/21/16,40.291,40.495,40.291,40.3,2462,0
4/22/16,40.231,40.396,40.231,40.241,716,0
4/28/16,40.193,40.193,40.193,40.193,513,0
5/4/16,40.053,40.053,40.053,40.053,100,0
5/5/16,39.903,40.095,39.903,39.978,3486,0
5/9/16,39.716,39.93,39.705,39.804,4512,0
5/10/16,39.687,40.056,39.647,39.95,3977,0
5/11/16,39.95,40.386,39.95,40.173,6432,0
5/12/16,39.93,40.436,39.927,40.164,11821,0
5/13/16,39.743,40.271,39.554,39.834,15791,0
5/16/16,39.744,39.999,39.744,39.883,3581,0
5/18/16,39.942,39.942,39.942,39.942,100,0
5/19/16,38.955,39.481,38.955,39.481,303,0
5/23/16,39.51,39.98,39.51,39.58,2402,0
5/24/16,39.53,39.697,39.52,39.52,5634,0
5/25/16,39.53,39.737,39.481,39.58,1743,0
5/26/16,39.765,39.785,39.737,39.785,614,0
5/27/16,39.648,39.745,39.619,39.628,1640,0
5/31/16,39.49,39.688,39.414,39.54,9020,0
6/1/16,39.335,39.668,39.335,39.619,18136,0
6/2/16,39.424,39.472,39.296,39.462,2172,0
6/3/16,39.825,40.497,39.717,39.785,8703,0
6/7/16,40.623,40.623,40.057,40.057,6524,0
6/8/16,40.206,40.663,39.952,40.663,6859,0
6/9/16,40.614,40.614,40.614,40.614,301,0
6/10/16,40.212,40.214,40.212,40.214,201,0
6/13/16,39.58,40.02,39.58,40.02,2494,0
6/14/16,39.755,40,39.755,39.875,3596,0
6/15/16,39.795,40.067,39.795,39.913,6697,0
6/16/16,39.882,39.978,39.882,39.882,1332,0
6/17/16,39.792,39.978,39.411,39.411,2462,0
6/20/16,39.527,39.96,39.527,39.93,2210,0
6/21/16,39.94,40.124,39.94,40.018,5837,0
6/22/16,40.055,40.222,40.055,40.105,5340,0
6/23/16,40.231,40.291,40.203,40.231,1700,0
6/24/16,39.402,40.349,39.402,39.547,9410,0
6/27/16,39.322,39.872,39.233,39.292,5014,0
6/28/16,39.762,39.93,39.714,39.812,2558,0
6/29/16,40.028,40.339,40.028,40.271,9513,0
6/30/16,40.085,40.3,40.085,40.164,13093,0
7/1/16,40.183,40.406,40.183,40.406,411,0
7/6/16,39.792,40.085,39.626,39.626,4091,0
7/8/16,40.173,40.222,40.07,40.183,3051,0
7/11/16,40.085,40.339,40.085,40.231,4293,0
7/12/16,40.085,40.32,40.085,40.32,303,0
7/14/16,40.271,41.686,40.178,40.574,9606,0
7/15/16,40.271,40.721,40.241,40.564,4705,0
7/18/16,40.342,40.597,40.342,40.597,303,0
7/21/16,40.048,40.293,40.048,40.147,2554,0
7/27/16,40.098,40.323,40.028,40.215,10117,0
7/28/16,40.147,40.715,40.147,40.293,9397,0
7/29/16,40.913,40.913,40.913,40.913,100,0
8/1/16,40.588,40.588,40.44,40.44,476,0
8/4/16,40.244,40.626,40.215,40.519,7455,0
8/5/16,40.225,40.538,40.225,40.489,6433,0
8/8/16,40.636,40.636,40.636,40.636,100,0
8/10/16,41.009,41.009,40.883,40.883,612,0
8/11/16,40.695,41.128,40.509,40.685,9804,0
8/12/16,40.45,41.831,40.352,40.646,7147,0
8/15/16,40.695,40.834,40.666,40.754,2044,0
8/16/16,40.754,40.814,40.676,40.814,1607,0
8/17/16,40.794,40.794,40.666,40.666,450,0
8/18/16,40.628,40.853,40.628,40.784,913,0
8/19/16,40.313,40.656,40.313,40.509,2755,0
8/22/16,40.048,40.641,40.048,40.568,4794,0
8/23/16,40.499,40.933,40.489,40.656,21606,0
8/24/16,40.754,40.754,40.196,40.39,8851,0
8/25/16,40.499,40.578,40.499,40.499,2653,0
8/26/16,40.635,40.99,40.567,40.617,8575,0
8/29/16,40.372,40.656,40.362,40.558,11693,0
8/30/16,40.234,40.933,40.234,40.558,13572,0
8/31/16,40.313,40.548,40.303,40.303,1838,0
9/1/16,40.284,40.636,40.254,40.254,6026,0
9/2/16,40.372,40.617,40.372,40.538,2042,0
9/6/16,40.55,40.942,40.55,40.804,21038,0
9/7/16,41.058,41.148,40.873,40.98,7350,0
9/8/16,40.784,40.98,40.784,40.814,1736,0
9/9/16,40.695,40.695,40.291,40.636,10922,0
9/12/16,40.332,40.362,40.332,40.362,664,0
9/14/16,40.068,40.068,40.068,40.068,100,0
9/15/16,40.068,40.225,39.972,40.137,4746,0
9/19/16,40.166,40.244,40.166,40.244,410,0
9/20/16,40.276,40.374,40.276,40.276,1940,0
9/21/16,40.374,40.678,40.347,40.668,15714,0
9/22/16,40.58,40.875,40.58,40.58,4897,0
9/26/16,40.324,40.796,40.302,40.374,4898,0
9/27/16,40.328,40.952,40.328,40.727,6918,0
9/28/16,40.472,40.697,40.472,40.491,917,0
9/29/16,40.472,40.873,40.462,40.717,5817,0
9/30/16,40.119,40.667,40.119,40.667,334,0
10/4/16,40.668,40.846,40.354,40.452,34135,0
10/5/16,40.324,40.57,40.227,40.402,12071,0
10/6/16,40.149,40.628,40.149,40.521,85720,0
